,asin,productTitle,primaryCategory,secondaryCategory,brand,price,itemModelNumber,imageURLHighRes,ranking,productDimensions,shippingWeight,domesticShipping,internationalShipping,discontinuedByManufacturer,batteries
10,B007IFT0EW,"Men's Dead Sea Mineral Hand Cream, Time to Energize - 3.4 Fl Oz",Beauty & Personal Care,Luxury Beauty,AHAVA,24.00,RB73,"['https://images-na.ssl-images-amazon.com/images/I/21abWwpoZWL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/414aaK1qpML.jpg', 'https://images-na.ssl-images-amazon.com/images/I/21uNLiXfa0L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31Z2kys8dfL.jpg']","93,800",2 x 2 x 6.1 inches ; 4.7 pounds,4 ounces,Item can be shipped within U.S.,This item can be shipped to select countries outside of the U.S.,,
11,B0017JAYPY,"Badescu Special Eye Cream V, 0.5 oz.",Beauty & Personal Care,Luxury Beauty,Mario,18.00,,"['https://images-na.ssl-images-amazon.com/images/I/41Andgi4LXL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31pRXn%2BP3hL.jpg']","76,959",2 x 2 x 1.5 inches ; 1.28 ounces,0.8 ounces,Item can be shipped within U.S.,This item can be shipped to select countries outside of the U.S.,,
12,B0001EKVGS,iredale PurePressed Eye Shadow,Beauty & Personal Care,Luxury Beauty,jane,22.00,14014,"['https://images-na.ssl-images-amazon.com/images/I/51Tand%2BoLZL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41UcyTJm7NL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51yIn0NMj8L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51BqYoGiJ3L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/314-o3GT-UL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61FrFylLIDL.jpg']","112,732",2 x 0.5 x 2 inches ; 0.48 ounces,1.6 ounces,Item can be shipped within U.S.,This item is not eligible for international shipping.,,
13,B0016A8OIS,"RS2 Gentle Lotion, 4 Fl Oz",Beauty & Personal Care,Luxury Beauty,Pevonia,31.00,1117-11,"['https://images-na.ssl-images-amazon.com/images/I/31PtPzjL8ZL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31fCcoZVkDL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/319F%2BhzqfJL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31g3r9niKFL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31aHPWwad1L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31DxrCljCvL.jpg']","51,872",2 x 2 x 8 inches ; 7.5 ounces,6.4 ounces,Item can be shipped within U.S.,This item can be shipped to select countries outside of the U.S.,,
14,B001B1SVA8,"Sensories Clarify Rosemary and Quillaja Detoxifying Shampoo, 33.8 Fl. oz.",Beauty & Personal Care,Luxury Beauty,RUSK,,IRSCDCSP33,"['https://images-na.ssl-images-amazon.com/images/I/31emlOMH2yL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31en9HnmLVL.jpg']","525,182",3.2 x 3.2 x 11 inches ; 1 pounds,2.5 pounds,,,,
15,B00BP10WY2,"Lashes Amplifeye Lash, Brow  Hair Formula",Beauty & Personal Care,Luxury Beauty,Xtreme,,,['https://images-na.ssl-images-amazon.com/images/I/41cNNGMyW4L.jpg'],"535,876",,2.4 ounces,Item can be shipped within U.S.,This item is not eligible for international shipping.,,
16,B004V5G0B8,Eye Therapy Patch Refill,Beauty & Personal Care,Luxury Beauty,Talika,,35296_14143,['https://via.placeholder.com/250?text=Image+Not+Available'],"459,601",,2.4 ounces,Item can be shipped within U.S.,This item is not eligible for international shipping.,4 ounces,
17,B01EI6OYYE,- Calm and Hydrate Gift Set,Beauty & Personal Care,Luxury Beauty,BORGHESE,,,['https://via.placeholder.com/250?text=Image+Not+Available'],"1,340,284",,nan,Item can be shipped within U.S.,This item is not eligible for international shipping.,,
18,B00CKX72MY,Color Care Authority CrazySmooth Extreme Shine Treatment Oil,Beauty & Personal Care,Luxury Beauty,ColorProof,8.00,,"['https://images-na.ssl-images-amazon.com/images/I/415MiOdvYwL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41e2Lae2lIL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31SmLKHGYSL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41pMdJCvUGL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/412R4N%2BIQAL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31enP-5TxcL.jpg']","335,525",1 x 1 x 2.5 inches,0.3 ounces,,,,
19,B0073FIB60,"Living Enzyme Infusion, 3.38 fl. oz.",Beauty & Personal Care,Luxury Beauty,Davines,39.50,8004608230601,"['https://images-na.ssl-images-amazon.com/images/I/41ArpOuVRFL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31tZljwDn3L.jpg']","102,966",2 x 2 x 1 inches,0.8 ounces,Item can be shipped within U.S.,This item can be shipped to select countries outside of the U.S.,,
20,B00O6536T2,"Liftissime Eyes Re-Lifting Serum, 0.54 Oz",Beauty & Personal Care,Luxury Beauty,LIERAC,,35397,"['https://images-na.ssl-images-amazon.com/images/I/31gftrSzbpL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31-F2HNEPuL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31dM34uPJJL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31QbvtnC1XL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61ih8HSJ7qL.jpg']","685,076",1.2 x 1.8 x 6.1 inches ; 0.48 ounces,1.6 ounces,Item can be shipped within U.S.,This item is not eligible for international shipping.,,
21,B00IM5IWPU,Flawless Complexion Starter Kit in Light,Beauty & Personal Care,Luxury Beauty,4-Piece,39.00,PM-951-770-3-20,['https://images-na.ssl-images-amazon.com/images/I/41FXP4AMczL.jpg'],"264,423",2.2 x 5 x 6.9 inches ; 4 ounces,6.4 ounces,Item can be shipped within U.S.,This item can be shipped to select countries outside of the U.S.,,
22,B01CPSP7PM,"Opti Crystal Liquid Eye Serum, 0.25 Fl Ounce",Beauty & Personal Care,Luxury Beauty,CosMedix,95.00,8770310,"['https://images-na.ssl-images-amazon.com/images/I/31tfhXKzuDL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/410M1qmVv4L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/417sO%2BP%2BtWL.jpg']","35,435",3.8 x 1 x 0.4 inches ; 0.8 ounces,0.8 ounces,,,,
23,B00CJHCGJK,Color Care Authority CrazySmooth Anti-Frizz Shampoo,Beauty & Personal Care,Luxury Beauty,ColorProof,9.50,Col-2796,"['https://images-na.ssl-images-amazon.com/images/I/419q%2BKQgrAL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51UDscb-bXL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31SmLKHGYSL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41pMdJCvUGL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41VX3k7FdnL.jpg']","173,648",1.8 x 1 x 5.2 inches ; 8 ounces,2.4 ounces,,,,
24,B009SAE3LU,"Picture Perfect Lightweight Mattifer, 1 fl. oz.",Beauty & Personal Care,Luxury Beauty,Cargo_HD,28.00,M-BR-01,"['https://images-na.ssl-images-amazon.com/images/I/31YzkQie04L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31MLeD6EV3L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31qj%2Br3cCKL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31vWLSxf53L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/418MkYjtoiL.jpg']","134,649",1 x 1.4 x 4.6 inches ; 1.6 ounces,2.4 ounces,Item can be shipped within U.S.,This item can be shipped to select countries outside of the U.S.,,
25,B00819SJMS,dalla palma Lifting Effect Cream Foundation,Beauty & Personal Care,Luxury Beauty,diego,67.00,DDP-105,"['https://images-na.ssl-images-amazon.com/images/I/316e54tRFnL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41DId3m21AL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31KnjealERL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41syUfOnqQL.jpg']","1,247,721",1.5 x 1.5 x 4.2 inches ; 5 ounces,5.6 ounces,Item can be shipped within U.S.,This item can be shipped to select countries outside of the U.S.,,
26,B001NGBMXY,"Lemon + Sage Supershine Shampoo | Tames Frizz  Adds Healthy Shine | With Wheat Proteins  Anti-Static Actives | For Gentle, Everyday Use",Beauty & Personal Care,Luxury Beauty,bliss,,U-HC-9625,"['https://images-na.ssl-images-amazon.com/images/I/41y%2BTprchkL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/318eqO8SZxL.jpg']","286,532",2.2 x 6.1 x 0.7 inches ; 8.5 ounces,9.6 ounces,,,,
27,B014I6LC8U,Shellac Color Coat Winter Glow,Beauty & Personal Care,Luxury Beauty,CND,15.95,CNDS2010,['https://via.placeholder.com/250?text=Image+Not+Available'],"41,556",0.8 x 0.8 x 3.9 inches ; 0.48 ounces,1.4 ounces,Item can be shipped within U.S.,This item is not eligible for international shipping.,,
28,B0099097Z6,Big Volumizing Shampoo,Beauty & Personal Care,Luxury Beauty,SEXYHAIR,9.42,Sexy-01225,['https://images-na.ssl-images-amazon.com/images/I/317xHFFWqOL.jpg'],"133,832",8.5 x 2 x 2 inches ; 7.2 ounces,12 ounces,,,,
29,B000C9M0UW,LaserComb,Beauty & Personal Care,Luxury Beauty,HairMax,,HMFP,['https://via.placeholder.com/250?text=Image+Not+Available'],"760,008",8 x 2 x 3 inches ; 2.01 pounds,2.8 pounds,Item can be shipped within U.S.,This item is not eligible for international shipping.,,
30,B01DUCBPK8,"Conditioning Collagen Fiber Primer, White, 0.27 fl. oz.",Beauty & Personal Care,Luxury Beauty,LashFood,26.00,811992017736,"['https://images-na.ssl-images-amazon.com/images/I/21WugokYh5L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31gD3ieuqPL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31bz%2BmiAREL.jpg']","90,190",5.2 x 0.9 x 0.9 inches ; 0.32 ounces,0.8 ounces,Item can be shipped within U.S.,This item is not eligible for international shipping.,,
31,B004EHTXDK,"PARIS Anti-Wrinkle Self-Tanner Face and Body with SPF 6, 4.2 oz.",Beauty & Personal Care,Luxury Beauty,ORLANE,,3359999071001,"['https://images-na.ssl-images-amazon.com/images/I/41a7pWDw9bL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41emZgVK3eL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41532GsiEEL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31SOZiv4JXL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41vRQ%2BrkPbL.jpg']","2,655,751",1.9 x 1.9 x 6.6 inches ; 4.2 ounces,6.4 ounces,Item can be shipped within U.S.,This item is not eligible for international shipping.,,
32,B000VE8LRO,"Body Scrub, 8 fl. oz.",Beauty & Personal Care,Luxury Beauty,XEN-TAN,,859616000054,"['https://images-na.ssl-images-amazon.com/images/I/313OB6USx-L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41jdEAB7jBL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41en51l4SKL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31HoqnhFY5L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/3108VzA4eaL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31929frsFQL.jpg']","1,093,003",2.2 x 2.2 x 7.8 inches ; 10.4 ounces,9.1 ounces,Item can be shipped within U.S.,This item is not eligible for international shipping.,,
33,B000PKILMY,"A Tan for All Seasons, 4.4 oz.",Beauty & Personal Care,Luxury Beauty,bliss,,1003-01403,"['https://images-na.ssl-images-amazon.com/images/I/41xPLjceXWL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41QWX8TASYL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31FE-krgF5L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41BtxnMeIqL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31OeP5wPsTL.jpg']","662,168",2.2 x 7.4 x 0.5 inches ; 8 ounces,8 ounces,,,,
34,B00U6GZTF4,"Hair Shield 450 Hair Treatment, 4 Fl Oz",Beauty & Personal Care,Luxury Beauty,AGADIR,21.50,0899681002331,"['https://images-na.ssl-images-amazon.com/images/I/51L7CLV9BHL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31-YsoY3mKL.jpg']","74,047",2.2 x 1.2 x 5 inches ; 13.3 ounces,6.4 ounces,,,,
35,B018B2AN50,"21 Cell Therapy Anti-Oxidant Boost Serum, 1 Oz",Beauty & Personal Care,Luxury Beauty,MEG,95.00,,"['https://images-na.ssl-images-amazon.com/images/I/31vTvM9PUzL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41vNzTnPOyL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/411HUUvjBCL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51SUNXSM%2B4L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31fowXCsXLL.jpg']","467,525",2 x 1.5 x 4.8 inches ; 4.2 ounces,4.2 ounces,,,,
36,B00MIGPAG8,"Color Treat Nail Polish,  Glitters, Queen Anne It Girl, 0.27 fl. oz.",Beauty & Personal Care,Luxury Beauty,Julep,,11-01-00288,"['https://images-na.ssl-images-amazon.com/images/I/31OpQ0wWdpL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41MVCzsJ9uL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/214OGJJRyYL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61YWGrokPTL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31a1Qf6cf0L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/314hQRb7o6L.jpg']","1,033,835",,0.8 ounces,Item can be shipped within U.S.,This item is not eligible for international shipping.,,
37,B00BAXY4LC,"Greyl Paris Shampooing Creme Moelle De Bambou, 7 Oz",Beauty & Personal Care,Luxury Beauty,Leonor,51.00,2018,"['https://images-na.ssl-images-amazon.com/images/I/31isEevYGDL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41ctHGaVBtL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31QeCIa9oXL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/313NPMqhdxL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41hfKoaliPL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41mEjpd0Q3L.jpg']","36,978",3 x 1.8 x 6.8 inches ; 7 ounces,8.8 ounces,Item can be shipped within U.S.,This item can be shipped to select countries outside of the U.S.,,
38,B00KYVGFPO,"Journey Man's Eau de Parfum Spray, 3.4 Fl Oz",Beauty & Personal Care,Luxury Beauty,AMOUAGE,183.77,30031792,"['https://images-na.ssl-images-amazon.com/images/I/51oX7856ogL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31Jk-u6mydL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41RszcGCDrL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41oT9MeCbvL.jpg']","922,954",4 x 2.6 x 7 inches ; 1 pounds,1.4 pounds,,,,
39,B00S5XNIS0,Unzipped Gold Shimmer and Matte Eye Shadow Palette,Beauty & Personal Care,Luxury Beauty,LORAC,42.00,,"['https://images-na.ssl-images-amazon.com/images/I/41vqVYga4aL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41l2RFa-u7L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41XGRvmM3dL.jpg']","110,231",,4 ounces,Item can be shipped within U.S.,This item can be shipped to select countries outside of the U.S.,14.1 ounces,
40,B002OHJHYM,"ORLANE PARIS Gentle Cleansing Foam, 6.7 fl. oz.",Beauty & Personal Care,Luxury Beauty,,,3359998220004,"['https://images-na.ssl-images-amazon.com/images/I/21wuqFe9m5L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31zuqDeTqjL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51skyEoBF4L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Typv1%2BlcL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Dsa29iBPL.jpg']","316,455",2.1 x 2.1 x 7.6 inches ; 7 ounces,9.6 ounces,Item can be shipped within U.S.,This item is not eligible for international shipping.,,
41,B00NFGOE58,Elution Dermo-Protection Shampoo 6.76Oz,Beauty & Personal Care,Luxury Beauty,Glytone,,,['https://via.placeholder.com/250?text=Image+Not+Available'],"1,050,114",,8.8 ounces,Item can be shipped within U.S.,This item is not eligible for international shipping.,,
42,B007OWOBAW,"Cosmeceuticals Lighten FX 3x Dark Spot Remover, .5 Fl Oz",Beauty & Personal Care,Luxury Beauty,Osmotics,64.00,5502,"['https://images-na.ssl-images-amazon.com/images/I/41l4Ov5kAZL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/3102GJGg6zL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/21K%2B-NTGUqL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41ZK51KHBFL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41IZ-iM4SHL.jpg']","536,705",2 x 2 x 4.5 inches ; 0.48 ounces,0.8 ounces,Item can be shipped within U.S.,This item can be shipped to select countries outside of the U.S.,,
43,B00021BODY,LONGO Deluxe Powder Brush No. 30,Beauty & Personal Care,Luxury Beauty,VINCENT,34.00,,['https://via.placeholder.com/250?text=Image+Not+Available'],"1,283,790",6.5 x 0.6 x 0.6 inches,0.5 ounces,Item can be shipped within U.S.,This item can be shipped to select countries outside of the U.S.,,
44,B00O5I59IQ,ORLANE PARIS Absolute Skin Recovery Serum ($3 Credit with Purchase),Beauty & Personal Care,Luxury Beauty,SAMPLE,,,"['https://images-na.ssl-images-amazon.com/images/I/41Hbvy7Z6FL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41AU2p3hqRL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Hc9vW5BiL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31ioOLhzJ7L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41ukMfkMKHL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41fp0IQ2K4L.jpg']",0,,0.8 ounces,Item can be shipped within U.S.,This item is not eligible for international shipping.,,
45,B00ANAF106,"Advanced Retinol Intensive Night Moisturizer, 1.7 fl. oz.",Beauty & Personal Care,Luxury Beauty,StriVectin,112.00,22285,['https://via.placeholder.com/250?text=Image+Not+Available'],"25,824",1.8 x 2.4 x 5 inches ; 1.76 ounces,2.4 ounces,Item can be shipped within U.S.,This item can be shipped to select countries outside of the U.S.,,
46,B000Z5YAI8,"of California Clarifying Clay Mask, 4 fl. oz.",Beauty & Personal Care,Luxury Beauty,Baxter,,BOC CCM,['https://via.placeholder.com/250?text=Image+Not+Available'],"1,192,439",,5.6 ounces,Item can be shipped within U.S.,This item is not eligible for international shipping.,4 ounces,
47,B00021E90Y,"Loose Face Powder, P2 Light/Medium",Beauty & Personal Care,Luxury Beauty,LORAC,,,['https://images-na.ssl-images-amazon.com/images/I/31KH821Y40L.jpg'],"2,209,054",1.7 x 2.7 x 2.7 inches,1.6 ounces,Item can be shipped within U.S.,This item is not eligible for international shipping.,,
48,B00FKYJ5KW,Curl Complete Conditioner,Beauty & Personal Care,Luxury Beauty,Pureology,7.50,,"['https://images-na.ssl-images-amazon.com/images/I/41K7OeW4kKL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31YHmwDE8GL.jpg']","428,564",3.9 x 1.4 x 1.4 inches,1.6 ounces,,,,
49,B0050V0A72,"Couture Blotting Papier, Salicylic Acid",Beauty & Personal Care,Luxury Beauty,Mai,19.87,,"['https://images-na.ssl-images-amazon.com/images/I/51Cu8KI7IzL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/5154eIGbsZL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31K3ss%2BioIL.jpg']","1,031,407",2 x 4 x 4 inches,0.3 ounces,Item can be shipped within U.S.,This item is not eligible for international shipping.,,
50,B002P59SIS,Real Cologne - no. 2 Oak Moss - 3.4 oz,Beauty & Personal Care,Luxury Beauty,Musgo,70.00,355321602,"['https://images-na.ssl-images-amazon.com/images/I/51SsaPueFGL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51HGXVDVnaL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31PIwvI3e7L.jpg']","113,931",1.6 x 3.5 x 4.5 inches,9.6 ounces,,,,
51,B01B4OIJ62,"Multi-Action Restorative Cream, 1.7 oz.",Beauty & Personal Care,Luxury Beauty,StriVectin,95.00,022704,"['https://images-na.ssl-images-amazon.com/images/I/517B26psgML.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61nlp6ovwRL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51ngE-Ts7SL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/313VcVd2QqL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61fj%2BuQxJmL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51JyBgUCgfL.jpg']","74,981",2.9 x 2.8 x 3 inches ; 0.32 ounces,6.4 ounces,Item can be shipped within U.S.,This item can be shipped to select countries outside of the U.S.,,
52,B00WFH48VI,Cosmetics Skin Illuminating Primer,Beauty & Personal Care,Luxury Beauty,MAKE,29.03,,"['https://images-na.ssl-images-amazon.com/images/I/21wweCsvBWL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/312g6hN0YLL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31-Yt559SGL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/21kLDIQ5obL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/11gd7uBUwVL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31vdV2IfOjL.jpg']","250,390",,0.3 ounces,Item can be shipped within U.S.,This item is not eligible for international shipping.,,
